City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,pokhara,28.2333,83.9833,16.99,84,65,0.91,NP,1730667268
131,san antonio de pale,-1.4014,5.6325,25.67,82,40,4.49,GQ,1730667269
132,badger,64.8,-147.5333,-5.36,81,75,2.06,US,1730667271
133,gizo,-8.103,156.8419,28.06,75,62,1.76,SB,1730667272
134,padang,-0.9492,100.3543,24.03,85,100,0.99,ID,1730667273
135,hargeysa,9.56,44.065,18.94,48,3,3.05,SO,1730667274
136,rabo de peixe,37.8,-25.5833,18.73,99,20,4.12,PT,1730667275
137,arkhangel'sk,64.5401,40.5433,-2.94,86,75,4.0,RU,1730667234
138,jamestown,42.097,-79.2353,14.8,26,0,3.6,US,1730667277
139,bhongaon,27.25,79.1833,22.64,37,0,1.36,IN,1730667279
140,susuman,62.7833,148.1667,-22.0,98,100,1.45,RU,1730667280
141,pacific grove,36.6177,-121.9166,17.99,79,0,4.47,US,1730667281
142,erbil,36.1926,44.0106,14.9,100,40,2.06,IQ,1730667089
143,menongue,-14.6585,17.691,20.13,73,99,2.15,AO,1730667283
144,phan rang-thap cham,11.5667,108.9833,23.79,92,99,1.97,VN,1730667284
145,benguela,-12.5763,13.4055,25.07,82,100,2.1,AO,1730667285
146,puerto ayora,-0.7393,-90.3518,21.68,67,27,5.46,EC,1730667287
147,sitka,57.0531,-135.33,7.94,76,100,2.57,US,1730667289
148,la puebla de montalban,39.863,-4.3592,14.75,76,3,4.67,ES,1730667290
149,mili,6.0815,171.735,27.84,74,100,1.75,MH,1730667291
150,scottburgh,-30.2867,30.7532,20.46,96,100,3.2,ZA,1730667292
151,tezu,27.9167,96.1667,20.94,60,3,1.55,IN,1730667294
152,san patricio,28.017,-97.5169,31.97,53,43,10.1,US,1730667295
153,ust'-ilimsk,58.0006,102.6619,-10.05,93,100,1.66,RU,1730667296
154,shahrinav,38.5709,68.335,17.04,23,58,3.6,TJ,1730667297
155,crane,31.3974,-102.3501,26.06,19,0,2.81,US,1730667298
156,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-1.85,66,98,2.78,RU,1730667299
157,chokwe,-24.5333,32.9833,26.19,45,0,5.26,MZ,1730667300
158,lensk,60.7253,114.9278,-21.31,100,93,0.86,RU,1730667302
159,acajutla,13.5928,-89.8275,28.39,69,91,2.05,SV,1730667303
160,kapuskasing,49.4169,-82.4331,8.05,71,100,4.12,CA,1730667304
161,ouadda,8.0777,22.4007,24.22,63,98,0.95,CF,1730667305
162,abilene,32.4487,-99.7331,22.27,91,75,5.14,US,1730667306
163,kwang binh,17.4833,106.6,23.23,96,100,1.62,VN,1730667307
164,woolgoolga,-30.1106,153.2007,24.93,78,77,5.03,AU,1730667308
165,castillos,-34.1667,-53.8333,18.68,86,100,4.59,UY,1730667309
166,korla,41.7597,86.1469,8.83,52,0,0.66,CN,1730667311
167,nantucket,41.2835,-70.0995,7.06,57,75,5.18,US,1730667312
168,as-suwayda,32.709,36.5695,12.04,89,8,1.43,SY,1730667313
169,xilin hot,43.9667,116.0333,-5.01,54,0,2.69,CN,1730667314
170,kalmunai,7.4167,81.8167,25.09,86,100,1.29,LK,1730667315
171,gilleleje,56.122,12.3106,11.32,88,94,8.05,DK,1730667316
172,lompoc,34.6391,-120.4579,20.85,50,0,7.72,US,1730667079
173,lihue,21.9789,-159.3672,26.77,77,75,6.17,US,1730667319
174,mocimboa,-11.3167,40.35,24.46,89,4,2.51,MZ,1730667320
